id,created_at,aluno_id,data,presente
198,2025-07-24 00:14:55.090151+00,169,2025-07-24,true
199,2025-07-24 00:14:55.090151+00,170,2025-07-24,false
200,2025-07-24 00:14:55.090151+00,179,2025-07-24,true
201,2025-07-24 00:14:55.090151+00,180,2025-07-24,true
202,2025-07-24 00:14:55.090151+00,182,2025-07-24,false
203,2025-07-24 00:14:55.090151+00,183,2025-07-24,false
204,2025-07-24 00:14:55.090151+00,171,2025-07-24,false
205,2025-07-24 00:14:55.090151+00,172,2025-07-24,true
206,2025-07-24 00:14:55.090151+00,173,2025-07-24,false
207,2025-07-24 00:14:55.090151+00,174,2025-07-24,true
208,2025-07-24 00:14:55.090151+00,175,2025-07-24,false
209,2025-07-24 00:14:55.090151+00,176,2025-07-24,false
210,2025-07-24 00:14:55.090151+00,177,2025-07-24,false
211,2025-07-24 00:14:55.090151+00,178,2025-07-24,false
212,2025-07-24 00:14:55.090151+00,194,2025-07-24,true
213,2025-07-24 00:14:55.090151+00,195,2025-07-24,false
214,2025-07-24 00:14:55.090151+00,196,2025-07-24,true
215,2025-07-24 00:14:55.090151+00,197,2025-07-24,true
216,2025-07-24 00:14:55.090151+00,198,2025-07-24,true
217,2025-07-24 00:14:55.090151+00,200,2025-07-24,true
218,2025-07-24 00:14:55.090151+00,202,2025-07-24,true
219,2025-07-24 00:14:55.090151+00,199,2025-07-24,true
220,2025-07-24 00:14:55.090151+00,201,2025-07-24,true
221,2025-07-24 00:14:55.090151+00,203,2025-07-24,false
222,2025-07-24 00:14:55.090151+00,235,2025-07-24,false
223,2025-07-24 00:14:55.090151+00,234,2025-07-24,true
224,2025-07-24 00:14:55.090151+00,236,2025-07-24,true
225,2025-07-24 00:14:55.090151+00,204,2025-07-24,true
226,2025-07-24 00:14:55.090151+00,205,2025-07-24,true
2439,2025-07-25 13:33:33.963431+00,57,2025-07-25,false
2440,2025-07-25 13:33:33.963431+00,58,2025-07-25,false
2441,2025-07-25 13:33:33.963431+00,42,2025-07-25,false
2442,2025-07-25 13:33:33.963431+00,59,2025-07-25,false
2443,2025-07-25 13:33:33.963431+00,60,2025-07-25,false
2444,2025-07-25 13:33:33.963431+00,6,2025-07-25,false
2445,2025-07-25 13:33:33.963431+00,23,2025-07-25,false
2446,2025-07-25 13:33:33.963431+00,24,2025-07-25,false
2447,2025-07-25 13:33:33.963431+00,25,2025-07-25,false
2448,2025-07-25 13:33:33.963431+00,26,2025-07-25,true
2449,2025-07-25 13:33:33.963431+00,27,2025-07-25,false
2450,2025-07-25 13:33:33.963431+00,28,2025-07-25,true
2451,2025-07-25 13:33:33.963431+00,29,2025-07-25,false
2452,2025-07-25 13:33:33.963431+00,30,2025-07-25,false
2453,2025-07-25 13:33:33.963431+00,208,2025-07-25,false
2454,2025-07-25 13:33:33.963431+00,2,2025-07-25,true
2455,2025-07-25 13:33:33.963431+00,56,2025-07-25,true
2456,2025-07-25 13:33:33.963431+00,62,2025-07-25,false
2457,2025-07-25 13:33:33.963431+00,75,2025-07-25,false
2458,2025-07-25 13:33:33.963431+00,184,2025-07-25,false
2459,2025-07-25 13:33:33.963431+00,185,2025-07-25,false
2460,2025-07-25 13:33:33.963431+00,186,2025-07-25,false
2461,2025-07-25 13:33:33.963431+00,187,2025-07-25,false
2462,2025-07-25 13:33:33.963431+00,189,2025-07-25,false
2463,2025-07-25 13:33:33.963431+00,190,2025-07-25,false
2464,2025-07-25 13:33:33.963431+00,95,2025-07-25,false
2465,2025-07-25 13:33:33.963431+00,136,2025-07-25,false
2466,2025-07-25 13:33:33.963431+00,191,2025-07-25,false
2467,2025-07-25 13:33:33.963431+00,193,2025-07-25,false
2468,2025-07-25 13:33:33.963431+00,63,2025-07-25,true
2469,2025-07-25 13:33:33.963431+00,64,2025-07-25,true
2470,2025-07-25 13:33:33.963431+00,65,2025-07-25,false
2471,2025-07-25 13:33:33.963431+00,66,2025-07-25,false
2472,2025-07-25 13:33:33.963431+00,67,2025-07-25,false
2473,2025-07-25 13:33:33.963431+00,68,2025-07-25,false
2474,2025-07-25 13:33:33.963431+00,69,2025-07-25,false
2475,2025-07-25 13:33:33.963431+00,70,2025-07-25,false
2476,2025-07-25 13:33:33.963431+00,71,2025-07-25,false
2477,2025-07-25 13:33:33.963431+00,72,2025-07-25,false
2478,2025-07-25 13:33:33.963431+00,73,2025-07-25,false
2479,2025-07-25 13:33:33.963431+00,74,2025-07-25,false
2480,2025-07-25 13:33:33.963431+00,206,2025-07-25,true
2481,2025-07-25 13:33:33.963431+00,76,2025-07-25,false
2482,2025-07-25 13:33:33.963431+00,77,2025-07-25,false
2483,2025-07-25 13:33:33.963431+00,79,2025-07-25,false
2484,2025-07-25 13:33:33.963431+00,80,2025-07-25,false
2485,2025-07-25 13:33:33.963431+00,81,2025-07-25,true
2486,2025-07-25 13:33:33.963431+00,82,2025-07-25,false
2487,2025-07-25 13:33:33.963431+00,83,2025-07-25,false
2488,2025-07-25 13:33:33.963431+00,85,2025-07-25,false
2489,2025-07-25 13:33:33.963431+00,87,2025-07-25,false
2490,2025-07-25 13:33:33.963431+00,88,2025-07-25,true
2491,2025-07-25 13:33:33.963431+00,89,2025-07-25,false
2492,2025-07-25 13:33:33.963431+00,90,2025-07-25,false
2493,2025-07-25 13:33:33.963431+00,91,2025-07-25,true
2494,2025-07-25 13:33:33.963431+00,92,2025-07-25,false
2495,2025-07-25 13:33:33.963431+00,93,2025-07-25,false
2496,2025-07-25 13:33:33.963431+00,94,2025-07-25,true
2497,2025-07-25 13:33:33.963431+00,96,2025-07-25,true
2498,2025-07-25 13:33:33.963431+00,97,2025-07-25,false
2499,2025-07-25 13:33:33.963431+00,98,2025-07-25,false
2500,2025-07-25 13:33:33.963431+00,1,2025-07-25,false
2501,2025-07-25 13:33:33.963431+00,3,2025-07-25,false
2502,2025-07-25 13:33:33.963431+00,4,2025-07-25,false
2503,2025-07-25 13:33:33.963431+00,5,2025-07-25,false
2504,2025-07-25 13:33:33.963431+00,7,2025-07-25,false
2505,2025-07-25 13:33:33.963431+00,9,2025-07-25,false
2506,2025-07-25 13:33:33.963431+00,10,2025-07-25,false
2507,2025-07-25 13:33:33.963431+00,11,2025-07-25,false
2508,2025-07-25 13:33:33.963431+00,12,2025-07-25,false
2509,2025-07-25 13:33:33.963431+00,13,2025-07-25,false
2510,2025-07-25 13:33:33.963431+00,14,2025-07-25,false
2511,2025-07-25 13:33:33.963431+00,15,2025-07-25,false
2512,2025-07-25 13:33:33.963431+00,16,2025-07-25,false
2513,2025-07-25 13:33:33.963431+00,17,2025-07-25,false
2514,2025-07-25 13:33:33.963431+00,99,2025-07-25,false
2515,2025-07-25 13:33:33.963431+00,100,2025-07-25,false
2516,2025-07-25 13:33:33.963431+00,102,2025-07-25,true
2517,2025-07-25 13:33:33.963431+00,103,2025-07-25,false
2518,2025-07-25 13:33:33.963431+00,104,2025-07-25,false
2519,2025-07-25 13:33:33.963431+00,101,2025-07-25,false
2520,2025-07-25 13:33:33.963431+00,231,2025-07-25,false
2521,2025-07-25 13:33:33.963431+00,148,2025-07-25,false
2522,2025-07-25 13:33:33.963431+00,149,2025-07-25,false
2523,2025-07-25 13:33:33.963431+00,105,2025-07-25,false
2524,2025-07-25 13:33:33.963431+00,106,2025-07-25,false
2525,2025-07-25 13:33:33.963431+00,107,2025-07-25,false
2526,2025-07-25 13:33:33.963431+00,108,2025-07-25,false
2527,2025-07-25 13:33:33.963431+00,109,2025-07-25,false
2528,2025-07-25 13:33:33.963431+00,110,2025-07-25,true
2529,2025-07-25 13:33:33.963431+00,230,2025-07-25,false
2530,2025-07-25 13:33:33.963431+00,18,2025-07-25,false
2531,2025-07-25 13:33:33.963431+00,19,2025-07-25,false
2532,2025-07-25 13:33:33.963431+00,20,2025-07-25,false
2533,2025-07-25 13:33:33.963431+00,21,2025-07-25,false
2534,2025-07-25 13:33:33.963431+00,22,2025-07-25,true
2535,2025-07-25 13:33:33.963431+00,111,2025-07-25,false
2536,2025-07-25 13:33:33.963431+00,112,2025-07-25,false
2537,2025-07-25 13:33:33.963431+00,113,2025-07-25,false
2538,2025-07-25 13:33:33.963431+00,114,2025-07-25,false
2539,2025-07-25 13:33:33.963431+00,115,2025-07-25,false
2540,2025-07-25 13:33:33.963431+00,116,2025-07-25,false
2541,2025-07-25 13:33:33.963431+00,117,2025-07-25,false
2542,2025-07-25 13:33:33.963431+00,232,2025-07-25,false
2543,2025-07-25 13:33:33.963431+00,118,2025-07-25,false
2544,2025-07-25 13:33:33.963431+00,119,2025-07-25,false
2545,2025-07-25 13:33:33.963431+00,120,2025-07-25,false
2546,2025-07-25 13:33:33.963431+00,121,2025-07-25,false
2547,2025-07-25 13:33:33.963431+00,122,2025-07-25,false
2548,2025-07-25 13:33:33.963431+00,123,2025-07-25,true
2549,2025-07-25 13:33:33.963431+00,124,2025-07-25,false
2550,2025-07-25 13:33:33.963431+00,125,2025-07-25,false
2551,2025-07-25 13:33:33.963431+00,126,2025-07-25,false
2552,2025-07-25 13:33:33.963431+00,127,2025-07-25,false
2553,2025-07-25 13:33:33.963431+00,128,2025-07-25,false
2554,2025-07-25 13:33:33.963431+00,129,2025-07-25,false
2555,2025-07-25 13:33:33.963431+00,233,2025-07-25,false
2556,2025-07-25 13:33:33.963431+00,229,2025-07-25,false
2557,2025-07-25 13:33:33.963431+00,438,2025-07-25,false
2558,2025-07-25 13:33:33.963431+00,31,2025-07-25,false
2559,2025-07-25 13:33:33.963431+00,32,2025-07-25,false
2560,2025-07-25 13:33:33.963431+00,33,2025-07-25,true
2561,2025-07-25 13:33:33.963431+00,34,2025-07-25,true
2562,2025-07-25 13:33:33.963431+00,35,2025-07-25,false
2563,2025-07-25 13:33:33.963431+00,41,2025-07-25,false
2564,2025-07-25 13:33:33.963431+00,43,2025-07-25,true
2565,2025-07-25 13:33:33.963431+00,44,2025-07-25,true
2566,2025-07-25 13:33:33.963431+00,45,2025-07-25,false
2567,2025-07-25 13:33:33.963431+00,46,2025-07-25,true
2568,2025-07-25 13:33:33.963431+00,36,2025-07-25,false
2569,2025-07-25 13:33:33.963431+00,37,2025-07-25,true
2570,2025-07-25 13:33:33.963431+00,38,2025-07-25,false
2571,2025-07-25 13:33:33.963431+00,40,2025-07-25,false
2572,2025-07-25 13:33:33.963431+00,130,2025-07-25,false
2573,2025-07-25 13:33:33.963431+00,131,2025-07-25,false
2574,2025-07-25 13:33:33.963431+00,133,2025-07-25,false
2575,2025-07-25 13:33:33.963431+00,134,2025-07-25,false
2576,2025-07-25 13:33:33.963431+00,135,2025-07-25,false
2577,2025-07-25 13:33:33.963431+00,137,2025-07-25,false
2578,2025-07-25 13:33:33.963431+00,138,2025-07-25,false
